Citation_context	Cited_content	Label	Twist_category	Qwen8B_prediction	Qwen14B_prediction	Mistral7B_prediction	Mistral24B_prediction	Llama8B_prediction	Deepseek_prediction
Authors used the decoder-RNN output combined from the past decoding time step in the bottom decoder layer, as well as the embeddings from the encoder to obtain recurrent attention context which is sent directly to all the remaining decoder layers.	Our attention module is similar to [2]. Morespecifically, let \mathbf{y}_{i-1} be the decoder-RNN output fromthe past decoding time step (in our implementation, we use the output fromthe bottom decoder layer). Attention context \mathbf{a}_{i}for the current time step is computed according to the following formulas:st=A⁢t⁢t⁢e⁢n⁢t⁢i⁢o⁢n⁢F⁢u⁢n⁢c⁢t⁢i⁢o⁢n⁢(𝐲i−1,𝐱t)∀t,1≤t≤Mpt=exp⁡(st)/∑t=1Mexp⁡(st)∀t,1≤t≤M𝐚i=∑t=1Mpt.𝐱t\begin{split}s_{t}&=AttentionFunction(\mathbf{y}_{i-1},\mathbf{x}_{t})\quad\forall t,\quad 1\leq t\leq M\\p_{t}&=\exp(s_{t})/\sum_{t=1}^{M}\exp(s_{t})\quad\quad\forall t,\quad 1\leq t\leq M\\\mathbf{a}_{i}&=\sum_{t=1}^{M}p_{t}.\mathbf{x}_{t}\end{split}start_ROW start_CELL italic_s start_POSTSUBSCRIPT italic_t end_POSTSUBSCRIPT end_CELL start_CELL = italic_A italic_t italic_t italic_e italic_n italic_t italic_i italic_o italic_n italic_F italic_u italic_n italic_c italic_t italic_i italic_o italic_n ( bold_y start_POSTSUBSCRIPT italic_i - 1 end_POSTSUBSCRIPT , bold_x start_POSTSUBSCRIPT italic_t end_POSTSUBSCRIPT ) ∀ italic_t , 1 ≤ italic_t ≤ italic_M end_CELL end_ROW start_ROW start_CELL italic_p start_POSTSUBSCRIPT italic_t end_POSTSUBSCRIPT end_CELL start_CELL = roman_exp ( italic_s start_POSTSUBSCRIPT italic_t end_POSTSUBSCRIPT ) / ∑ start_POSTSUBSCRIPT italic_t = 1 end_POSTSUBSCRIPT start_POSTSUPERSCRIPT italic_M end_POSTSUPERSCRIPT roman_exp ( italic_s start_POSTSUBSCRIPT italic_t end_POSTSUBSCRIPT ) ∀ italic_t , 1 ≤ italic_t ≤ italic_M end_CELL end_ROW start_ROW start_CELL bold_a start_POSTSUBSCRIPT italic_i end_POSTSUBSCRIPT end_CELL start_CELL = ∑ start_POSTSUBSCRIPT italic_t = 1 end_POSTSUBSCRIPT start_POSTSUPERSCRIPT italic_M end_POSTSUPERSCRIPT italic_p start_POSTSUBSCRIPT italic_t end_POSTSUBSCRIPT . bold_x start_POSTSUBSCRIPT italic_t end_POSTSUBSCRIPT end_CELL end_ROW(4)where AttentionFunction in our implementation is a feed forward network withone hidden layer.Figure 1: The model architecture of GNMT, Google’s Neural Machine Translation system. On the left is the encoder network, on the right is the decoder network, in the middle is the attention module. The bottom encoder layer is bi-directional: the pink nodes gather information from left to right while the green nodes gather information from right to left. The other layers of the encoder are uni-directional. Residual connections start from the layer third from the bottom in the encoder and decoder. The model is partitioned into multiple GPUs to speed up training. In our setup, we have 8 encoder LSTM layers (1 bi-directional layer and 7 uni-directional layers), and 8 decoder layers. With this setting, one model replica is partitioned 8-ways and is placed on 8 different GPUs typically belonging to one host machine. During training, the bottom bi-directional encoder layers compute in parallel first. Once both finish, the uni-directional encoder layers can start computing, each on a separate GPU. To retain as much parallelism as possible during running the decoder layers, we use the bottom decoder layer output only for obtaining recurrent attention context, which is sent directly to all the remaining decoder layers. The softmax layer is also partitioned and placed on multiple GPUs. Depending on the output vocabulary size we either have them run on the same GPUs as the encoder and decoder networks, or have them run on a separate set of dedicated GPUs.	Incorrect	Invent something didn't mentioned	Correct	Correct	Correct	Incorrect	Correct	Correct
Authors used 8 LSTM layers for the encoder, and 8 LSTM layers for the decoder with residual connections for both networks, each layer has 1024 node.	This work presents the design and implementation of GNMT, a production NMTsystem at Google, that aims toprovide solutions to the above problems. In our implementation, therecurrent networks are Long Short-Term Memory (LSTM)RNNs [23, 17]. Our LSTM RNNs have 8layers, with residual connections between layers to encourage gradientflow [21]. For parallelism, we connect the attention fromthe bottom layer of the decoder network to the top layer of theencoder network. To improve inference time, we employ low-precisionarithmetic for inference, which is further accelerated by specialhardware (Google’s Tensor Processing Unit, or TPU). To effectivelydeal with rare words, we use sub-word units (also known as“wordpieces”) [35] for inputs and outputs inour system. Using wordpieces gives a good balance between theflexibility of single characters and the efficiency of full words fordecoding, and also sidesteps the need for special treatment of unknownwords. Our beam search technique includes a length normalization procedure todeal efficiently with the problem of comparing hypotheses of differentlengths during decoding, and a coverage penalty to encourage the modelto translate all of the provided input.\begin{split}\mathbf{c}_{t}^{i},\mathbf{m}_{t}^{i}&=\mathrm{LSTM}_{i}(\mathbf{c}_{t-1}^{i},\mathbf{m}_{t-1}^{i},\mathbf{x}_{t}^{i-1};\mathbf{W}^{i})\\\mathbf{x}_{t}^{i}&=\mathbf{m}_{t}^{i}+\mathbf{x}_{t}^{i-1}\\\mathbf{c}_{t}^{i+1},\mathbf{m}_{t}^{i+1}&=\mathrm{LSTM}_{i+1}(\mathbf{c}_{t-1}^{i+1},\mathbf{m}_{t-1}^{i+1},\mathbf{x}_{t}^{i};\mathbf{W}^{i+1})\end{split}(6)Residual connections greatly improve the gradient flow in the backwardpass, which allows us to train very deep encoder and decodernetworks. In most of our experiments, we use 8 LSTM layers for the encoderand decoder, though residual connections can allow us to trainsubstantially deeper networks (similar to what was observedin [45]).In all experiments, our models consist of 8 encoder layers and 8 decoder layers.(Since the bottom encoder layer is actually bi-directional, in total there are9 logically distinct LSTM passes in the encoder.)The attention network is a simple feedforward network with one hidden layer with 1024 nodes.All of the models use 1024 LSTM nodes per encoder and decoder layers.	Correct		Incorrect	Correct	Correct	Incorrect	Incorrect	Incorrect
Authors used 12 LSTM layers for the encoder, and 12 LSTM layers for the decoder with residual connections for both networks, each layer has 1024 node.	This work presents the design and implementation of GNMT, a production NMTsystem at Google, that aims toprovide solutions to the above problems. In our implementation, therecurrent networks are Long Short-Term Memory (LSTM)RNNs [23, 17]. Our LSTM RNNs have 8layers, with residual connections between layers to encourage gradientflow [21]. For parallelism, we connect the attention fromthe bottom layer of the decoder network to the top layer of theencoder network. To improve inference time, we employ low-precisionarithmetic for inference, which is further accelerated by specialhardware (Google’s Tensor Processing Unit, or TPU). To effectivelydeal with rare words, we use sub-word units (also known as“wordpieces”) [35] for inputs and outputs inour system. Using wordpieces gives a good balance between theflexibility of single characters and the efficiency of full words fordecoding, and also sidesteps the need for special treatment of unknownwords. Our beam search technique includes a length normalization procedure todeal efficiently with the problem of comparing hypotheses of differentlengths during decoding, and a coverage penalty to encourage the modelto translate all of the provided input.\begin{split}\mathbf{c}_{t}^{i},\mathbf{m}_{t}^{i}&=\mathrm{LSTM}_{i}(\mathbf{c}_{t-1}^{i},\mathbf{m}_{t-1}^{i},\mathbf{x}_{t}^{i-1};\mathbf{W}^{i})\\\mathbf{x}_{t}^{i}&=\mathbf{m}_{t}^{i}+\mathbf{x}_{t}^{i-1}\\\mathbf{c}_{t}^{i+1},\mathbf{m}_{t}^{i+1}&=\mathrm{LSTM}_{i+1}(\mathbf{c}_{t-1}^{i+1},\mathbf{m}_{t-1}^{i+1},\mathbf{x}_{t}^{i};\mathbf{W}^{i+1})\end{split}(6)Residual connections greatly improve the gradient flow in the backwardpass, which allows us to train very deep encoder and decodernetworks. In most of our experiments, we use 8 LSTM layers for the encoderand decoder, though residual connections can allow us to trainsubstantially deeper networks (similar to what was observedin [45]).In all experiments, our models consist of 8 encoder layers and 8 decoder layers.(Since the bottom encoder layer is actually bi-directional, in total there are9 logically distinct LSTM passes in the encoder.)The attention network is a simple feedforward network with one hidden layer with 1024 nodes.All of the models use 1024 LSTM nodes per encoder and decoder layers.	Incorrect	Change number	Incorrect	Incorrect	Correct	Incorrect	Incorrect	Incorrect
Authors refer to translation domain knowledge, as they refer to Luong's et al.  (2015) Neural Machine Translation as it reads through all source words until the end of a sentence, then starts translation by emitting one target word at a time as illustrated in Figure 1.	Neural Machine Translation (NMT) achieved state-of-the-art performances in large-scale translation tasks such as from English to French (Luong et al., 2015) and English to German (Jean et al., 2015). NMT is appealing since it requires minimal domain knowledge and is conceptually simple. The model by Luong et al. (2015) reads through all the source words until the end-of-sentence symbol <eos> is reached. It then starts emitting one target word at a time, as illustrated in Figure 1.	Correct		Correct	Correct	Correct	Correct	Correct	Correct
Authors refer to translation domain knowledge, as they refer to Luong's et al.  (2015) Neural Machine Translation as it reads through certain source words until the end of a sentence, then starts translation by emitting one target word at a time as illustrated in Figure 1.	Neural Machine Translation (NMT) achieved state-of-the-art performances in large-scale translation tasks such as from English to French (Luong et al., 2015) and English to German (Jean et al., 2015). NMT is appealing since it requires minimal domain knowledge and is conceptually simple. The model by Luong et al. (2015) reads through all the source words until the end-of-sentence symbol <eos> is reached. It then starts emitting one target word at a time, as illustrated in Figure 1.	Incorrect	Change concept	Correct	Correct	Correct	Correct	Correct	Correct
Large Neural network NMT has the ability to generalize well to very long word sequences so that it doesn't have to store gigantic phrase tables and language models, which results to having a small memory footprint.	Neural Machine Translation (NMT) achieved state-of-the-art performances inlarge-scale translation tasks such as from English to French [Luong et al., 2015] andEnglish to German [Jean et al., 2015]. NMT is appealing since it requires minimaldomain knowledge and is conceptually simple. The model by ?) reads through all the source words until the end-of-sentence symbol <eos> is reached. It then starts emitting one target word at a time, as illustrated in Figure 1. NMT is often a large neural network that is trained in an end-to-end fashion and has the ability to generalize well to very long word sequences. This means the model does not have to explicitly store gigantic phrase tables and language models as in the case of standard MT; hence, NMT has a small memory footprint. Lastly, implementing NMT decoders is easy unlike the highly intricate decoders in standard MT [Koehn et al., 2003].	Correct		Correct	Correct	Correct	Correct	Correct	Correct
Large Neural network NMT doesn't have the ability to generalize well to very long word sequences so it has to store gigantic phrase tables and language models, which results to having a small memory footprint.	Neural Machine Translation (NMT) achieved state-of-the-art performances inlarge-scale translation tasks such as from English to French [Luong et al., 2015] andEnglish to German [Jean et al., 2015]. NMT is appealing since it requires minimaldomain knowledge and is conceptually simple. The model by ?) reads through all the source words until the end-of-sentence symbol <eos> is reached. It then starts emitting one target word at a time, as illustrated in Figure 1. NMT is often a large neural network that is trained in an end-to-end fashion and has the ability to generalize well to very long word sequences. This means the model does not have to explicitly store gigantic phrase tables and language models as in the case of standard MT; hence, NMT has a small memory footprint. Lastly, implementing NMT decoders is easy unlike the highly intricate decoders in standard MT [Koehn et al., 2003].	Incorrect	Opposite	Incorrect	Incorrect	Correct	Incorrect	Incorrect	Incorrect
Soft attention model's weights are placed "softly" over all patches in the source image.  while Hard attention models selects one patch of the image to attend at a time.  it's also, none-differentiable, requires more complicated techniques and less expensive at inference time. 	This model takes inspiration from the tradeoff between the soft and hard attentional models proposed by ?) to tackle the image captiongeneration task. In their work, soft attention refers to the global attentionapproach in which weights are placed “softly” over all patches in the sourceimage. The hard attention, on the other hand, selects one patchof the image to attend to at a time. While less expensive at inference time, thehard attention model is non-differentiable and requires more complicatedtechniques such as variance reduction or reinforcement learning to train.	Correct		Correct	Correct	Correct	Incorrect	Correct	Correct
Soft attention model's weights are placed "softly" over all patches in the source image.  while Hard attention models selects one patch of the image to attend at a time.  it's also, none-differentiable, requires less complicated techniques and more expensive at inference time. 	This model takes inspiration from the tradeoff between the soft and hard attentional models proposed by ?) to tackle the image captiongeneration task. In their work, soft attention refers to the global attentionapproach in which weights are placed “softly” over all patches in the sourceimage. The hard attention, on the other hand, selects one patchof the image to attend to at a time. While less expensive at inference time, thehard attention model is non-differentiable and requires more complicatedtechniques such as variance reduction or reinforcement learning to train.	Incorrect	Change concept	Correct	Correct	Correct	Incorrect	Incorrect	Incorrect
Previous work included vanilla RNN, LSTM and GRU in the decoder architecture.  as Sutskever and Luon stacked multiple layers of RNN with LSTM hidden unit for the decoder and encoder.  and Cho, Bahdanau and Jeal all adopted GRU.	Common to these two types of models is the fact that at each time step t in the decoding phase, both approaches first take as input the hidden state \mbox{\boldmath{$h$}}_{t} at the top layer of a stacking LSTM. The goal is then to derive a context vector \mbox{\boldmath{$c$}}_{t} that captures relevant source-side information to help predict the current target word y_{t}. While these models differ in how the context vector \mbox{\boldmath{$c$}}_{t} is derived, they share the same subsequent steps.?) used an RNN with the standard hidden unit for the decoder and aconvolutional neural network for encoding the source sentence representation. Onthe other hand, both ?) and ?) stackedmultiple layers of an RNN with a Long Short-Term Memory (LSTM) hidden unit forboth the encoder and the decoder. ?), ?), and?) all adopted a different version of the RNN with anLSTM-inspired hidden unit, the gated recurrent unit (GRU), for bothcomponents.444They all used a single RNN layer except for the latter twoworks which utilized a bidirectional RNN for the encoder.In more detail, one can parameterize the probability of decoding each word y_{j} as:p\left(y_{j}|y_{<j},\mbox{\boldmath{$s$}}\right)=\operatorname{softmax}\left(g\left(\mbox{\boldmath{$h$}}_{j}\right)\right)(2)with g being the transformation function that outputs a vocabulary-sizedvector.555One can provide g with other inputs such as the currentlypredicted word y_{j} as in [Bahdanau et al., 2015]. Here, \mbox{\boldmath{$h$}}_{j} is the RNN hiddenunit, abstractly computed as:\mbox{\boldmath{$h$}}_{j}=f(\mbox{\boldmath{$h$}}_{j-1},\mbox{\boldmath{$s$}}),(3)where f computes the current hidden state given the previous hidden state andcan be either a vanilla RNN unit, a GRU, or an LSTM unit. In [Kalchbrenner and Blunsom, 2013, Sutskever et al., 2014, Cho et al., 2014, Luong et al., 2015], the source representation s is only used once to initialize the decoder hidden state. On the other hand, in [Bahdanau et al., 2015, Jean et al., 2015] and this work, s, in fact, implies a set of source hidden states which are consulted throughout the entire course of the translation process. Such an approach is referred to as an attention mechanism, which we will discuss next.	Correct		Incorrect	Incorrect	Correct	Incorrect	Incorrect	Incorrect
Previous work included vanilla RNN, CNN, LSTM and GRU in the decoder architecture.  as Sutskever and Luon stacked multiple layers of RNN with LSTM hidden unit for the decoder and encoder.  and Cho, Bahdanau and Jeal all adopted GRU.	Common to these two types of models is the fact that at each time step t in the decoding phase, both approaches first take as input the hidden state \mbox{\boldmath{$h$}}_{t} at the top layer of a stacking LSTM. The goal is then to derive a context vector \mbox{\boldmath{$c$}}_{t} that captures relevant source-side information to help predict the current target word y_{t}. While these models differ in how the context vector \mbox{\boldmath{$c$}}_{t} is derived, they share the same subsequent steps.?) used an RNN with the standard hidden unit for the decoder and aconvolutional neural network for encoding the source sentence representation. Onthe other hand, both ?) and ?) stackedmultiple layers of an RNN with a Long Short-Term Memory (LSTM) hidden unit forboth the encoder and the decoder. ?), ?), and?) all adopted a different version of the RNN with anLSTM-inspired hidden unit, the gated recurrent unit (GRU), for bothcomponents.444They all used a single RNN layer except for the latter twoworks which utilized a bidirectional RNN for the encoder.In more detail, one can parameterize the probability of decoding each word y_{j} as:p\left(y_{j}|y_{<j},\mbox{\boldmath{$s$}}\right)=\operatorname{softmax}\left(g\left(\mbox{\boldmath{$h$}}_{j}\right)\right)(2)with g being the transformation function that outputs a vocabulary-sizedvector.555One can provide g with other inputs such as the currentlypredicted word y_{j} as in [Bahdanau et al., 2015]. Here, \mbox{\boldmath{$h$}}_{j} is the RNN hiddenunit, abstractly computed as:\mbox{\boldmath{$h$}}_{j}=f(\mbox{\boldmath{$h$}}_{j-1},\mbox{\boldmath{$s$}}),(3)where f computes the current hidden state given the previous hidden state andcan be either a vanilla RNN unit, a GRU, or an LSTM unit. In [Kalchbrenner and Blunsom, 2013, Sutskever et al., 2014, Cho et al., 2014, Luong et al., 2015], the source representation s is only used once to initialize the decoder hidden state. On the other hand, in [Bahdanau et al., 2015, Jean et al., 2015] and this work, s, in fact, implies a set of source hidden states which are consulted throughout the entire course of the translation process. Such an approach is referred to as an attention mechanism, which we will discuss next.	Incorrect	Invent something didn't mentioned	Incorrect	Incorrect	Correct	Incorrect	Incorrect	Correct
a variable-length alignment is a vector derived by comparing the current target hidden state with each source hidden state, and the size of it equals the number of time steps on the source side.	The idea of a global attentional model is to consider all the hidden states ofthe encoder when deriving the context vector c_{t}. In this model type, avariable-length alignment vector \mbox{\boldmath{$a$}}_{t}, whose size equals the number of timesteps on the source side, is derived by comparing the current target hiddenstate \mbox{\boldmath{$h$}}_{t} with each source hidden state \mbox{\boldmath{$\bar{h}$}}_{s}:\displaystyle\mbox{\boldmath{$a$}}_{t}(s)\displaystyle=\operatorname{align}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s})(7)\displaystyle=\frac{\exp\left(\operatorname{score}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s})\right)}{\sum_{s^{\prime}}\exp\left(\operatorname{score}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s^{\prime}})\right)}Here, \operatorname{score} is referred as a content-based function for which we consider three differentalternatives:\operatorname{score}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s})\!=\!\begin{cases}\mbox{\boldmath{$h$}}_{t}^{\top}\mbox{\boldmath{$\bar{h}$}}_{s}&\mbox{{\it dot}}\\\mbox{\boldmath{$h$}}_{t}^{\top}\mbox{\boldmath{$W_{a}$}}\mbox{\boldmath{$\bar{h}$}}_{s}&\mbox{{\it general}}\\\mbox{\boldmath{$v$}}_{a}^{\top}\tanh\left(\mbox{\boldmath{$W_{a}$}}[\mbox{\boldmath{$h$}}_{t};\mbox{\boldmath{$\bar{h}$}}_{s}]\right)&\mbox{{\it concat}}\end{cases}Figure 2: Global attentional model – at each time step t, the model infers a variable-length alignment weight vector at based on the current target state ht and all source states h¯s. A global context vector ct is then computed as the weighted average, according to at, over all the source states.	Correct		Correct	Correct	Correct	Incorrect	Incorrect	Correct
a variable-length alignment is a vector derived by comparing the current target hidden state with each source hidden state, but the size of it doesn't equal to the number of time steps on the source side.	The idea of a global attentional model is to consider all the hidden states ofthe encoder when deriving the context vector c_{t}. In this model type, avariable-length alignment vector \mbox{\boldmath{$a$}}_{t}, whose size equals the number of timesteps on the source side, is derived by comparing the current target hiddenstate \mbox{\boldmath{$h$}}_{t} with each source hidden state \mbox{\boldmath{$\bar{h}$}}_{s}:\displaystyle\mbox{\boldmath{$a$}}_{t}(s)\displaystyle=\operatorname{align}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s})(7)\displaystyle=\frac{\exp\left(\operatorname{score}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s})\right)}{\sum_{s^{\prime}}\exp\left(\operatorname{score}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s^{\prime}})\right)}Here, \operatorname{score} is referred as a content-based function for which we consider three differentalternatives:\operatorname{score}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s})\!=\!\begin{cases}\mbox{\boldmath{$h$}}_{t}^{\top}\mbox{\boldmath{$\bar{h}$}}_{s}&\mbox{{\it dot}}\\\mbox{\boldmath{$h$}}_{t}^{\top}\mbox{\boldmath{$W_{a}$}}\mbox{\boldmath{$\bar{h}$}}_{s}&\mbox{{\it general}}\\\mbox{\boldmath{$v$}}_{a}^{\top}\tanh\left(\mbox{\boldmath{$W_{a}$}}[\mbox{\boldmath{$h$}}_{t};\mbox{\boldmath{$\bar{h}$}}_{s}]\right)&\mbox{{\it concat}}\end{cases}Figure 2: Global attentional model – at each time step t, the model infers a variable-length alignment weight vector at based on the current target state ht and all source states h¯s. A global context vector ct is then computed as the weighted average, according to at, over all the source states.	Incorrect	Opposite	Incorrect	Correct	Correct	Incorrect	Incorrect	Incorrect
The author's model consists of 4 layers of LSTM, each has 100 cells, and 1000-dimensional embeddings.	When training our NMT systems, following [Bahdanau et al., 2015, Jean et al., 2015], we filter outsentence pairs whose lengths exceed 50 words and shuffle mini-batches as weproceed. Our stacking LSTM models have 4 layers, each with 1000 cells, and1000-dimensional embeddings. We follow [Sutskever et al., 2014, Luong et al., 2015] in trainingNMT with similar settings: (a) our parameters are uniformly initialized in[-0.1,0.1], (b) we train for 10 epochs using plain SGD, (c) a simple learningrate schedule is employed – we start with a learning rate of 1; after 5 epochs,we begin to halve the learning rate every epoch, (d) our mini-batch size is 128,and (e) the normalized gradient is rescaled whenever its norm exceeds 5.Additionally, we also use dropout with probability 0.2 for our LSTMs as suggested by[Zaremba et al., 2015]. For dropout models, we train for 12 epochs and start halvingthe learning rate after 8 epochs. For localattention models, we empirically set the window size D=10.	Correct		Correct	Correct	Correct	Incorrect	Incorrect	Incorrect
The author's model consists of 8 layers of LSTM, each has 110 cells, and 1000-dimensional embeddings.	When training our NMT systems, following [Bahdanau et al., 2015, Jean et al., 2015], we filter outsentence pairs whose lengths exceed 50 words and shuffle mini-batches as weproceed. Our stacking LSTM models have 4 layers, each with 1000 cells, and1000-dimensional embeddings. We follow [Sutskever et al., 2014, Luong et al., 2015] in trainingNMT with similar settings: (a) our parameters are uniformly initialized in[-0.1,0.1], (b) we train for 10 epochs using plain SGD, (c) a simple learningrate schedule is employed – we start with a learning rate of 1; after 5 epochs,we begin to halve the learning rate every epoch, (d) our mini-batch size is 128,and (e) the normalized gradient is rescaled whenever its norm exceeds 5.Additionally, we also use dropout with probability 0.2 for our LSTMs as suggested by[Zaremba et al., 2015]. For dropout models, we train for 12 epochs and start halvingthe learning rate after 8 epochs. For localattention models, we empirically set the window size D=10.	Incorrect	Change number	Incorrect	Incorrect	Correct	Incorrect	Incorrect	Incorrect
Local attention method had sharper alignment weights than global one, that's due to it's designed to only focus on a subset of words each time.	We visualize the alignment weights produced by our different attention models in Figure 7. The visualization of the local attention model is much sharper than that of the global one. This contrast matches our expectation that local attention is designed to only focus on a subset of words each time.	Correct		Correct	Correct	Correct	Correct	Correct	Correct
Local attention method had sharper alignment weights than global one, that's due to it's designed to focus on an entire set of words each time.	We visualize the alignment weights produced by our different attention models in Figure 7. The visualization of the local attention model is much sharper than that of the global one. This contrast matches our expectation that local attention is designed to only focus on a subset of words each time.	Incorrect	Change concept	Correct	Correct	Correct	Incorrect	Incorrect	Incorrect
Leveraging frame rate conditioning, authours enable an additional augmentation method to tackle the limited volume of available videos at training timee, and provides additional control on the generated video at inference time by a varying number of frames-per-second.	Inspired by these motivations, we propose Make-A-Video. Make-A-Video leverages T2I models to learn the correspondence between text and the visual world, and uses unsupervised learning on unlabeled (unpaired) video data, to learn realistic motion. Together, Make-A-Video generates videos from text without leveraging paired text-video data.Clearly, text describing images does not capture the entirety of phenomena observed in videos. That said, one can often infer actions and events from static images (e.g. a woman drinking coffee, or an elephant kicking a football) as done in image-based action recognition systems (Girish et al., 2020). Moreover, even without text descriptions, unsupervised videos are sufficient to learn how different entities in the world move and interact (e.g. the motion of waves at the beach, or of an elephant’s trunk). As a result, a model that has only seen text describing images is surprisingly effective at generating short videos, as demonstrated by our temporal diffusion-based method. Make-A-Video sets the new state-of-the-art in T2V generation.Frame rate conditioning. In addition to the T2I conditionings, similar to CogVideo (Hong et al., 2022), we add an additional conditioning parameter fps, representing the number of frames-per-second in a generated video. Conditioning on a varying number of frames-per-second, enables an additional augmentation method to tackle the limited volume of available videos at training time, and provides additional control on the generated video at inference time.	Correct		Correct	Correct	Correct	Correct	Incorrect	Correct
Leveraging frame rate conditioning, authours enable an additional augmentation method to tackle the limited volume of available videos at training timee, and provides additional control on the generated video at inference time by a varying number of frames-per-minute.	Inspired by these motivations, we propose Make-A-Video. Make-A-Video leverages T2I models to learn the correspondence between text and the visual world, and uses unsupervised learning on unlabeled (unpaired) video data, to learn realistic motion. Together, Make-A-Video generates videos from text without leveraging paired text-video data.Clearly, text describing images does not capture the entirety of phenomena observed in videos. That said, one can often infer actions and events from static images (e.g. a woman drinking coffee, or an elephant kicking a football) as done in image-based action recognition systems (Girish et al., 2020). Moreover, even without text descriptions, unsupervised videos are sufficient to learn how different entities in the world move and interact (e.g. the motion of waves at the beach, or of an elephant’s trunk). As a result, a model that has only seen text describing images is surprisingly effective at generating short videos, as demonstrated by our temporal diffusion-based method. Make-A-Video sets the new state-of-the-art in T2V generation.Frame rate conditioning. In addition to the T2I conditionings, similar to CogVideo (Hong et al., 2022), we add an additional conditioning parameter fps, representing the number of frames-per-second in a generated video. Conditioning on a varying number of frames-per-second, enables an additional augmentation method to tackle the limited volume of available videos at training time, and provides additional control on the generated video at inference time.	Incorrect	Change concept	Correct	Correct	Correct	Incorrect	Correct	Correct
For a more thorough evaluation than existing literature in T2V, the authors collect an evaluation set from Amazon Mechanical Turk (AMT) that consists of 300 prompts and filtered out prompts that were incomplete, too abstract, or offensive and then identified 5 categories (animals, fantasy, people, nature and scenes, food and beverage) and selected prompts for these categories.  It is used for zero-shot T2V human evaluation.	Datasets.To train the image models, we use a 2.3B subset of the dataset from (Schuhmann et al., ) where the text is English. We filter out sample pairs with NSFW images 333We used this model: https://github.com/GantMan/nsfw_model, toxic words in the text, or images with a watermark probability larger than 0.5.We use WebVid-10M (Bain et al., 2021) and a 10M subset from HD-VILA-100M (Xue et al., 2022) 444These 100M clips are sourced from 3.1M videos. We randomly downloaded 3 clips per video to form our HD-VILA-10M subset. to train our video generation models.Note that only the videos (no aligned text) are used. The decoder \operatorname{D}^{t} and the interpolation model is trained on WebVid-10M. \operatorname{SR}_{l}^{t} is trained on both WebVid-10M and HD-VILA-10M.While prior work (Hong et al., 2022; Ho et al., 2022) have collected private text-video pairs for T2V generation, we use only public datasets (and no paired text for videos). We conduct automatic evaluation on UCF-101 (Soomro et al., 2012) and MSR-VTT (Xu et al., 2016) in a zero-shot setting.Human Evaluation Set and Metrics.We collect an evaluation set from Amazon Mechanical Turk (AMT) that consists of 300 prompts. We asked annotators what they would be interested in generating if there were a T2V system. We filtered out prompts that were incomplete (e.g., “jump into water”), too abstract (e.g., “climate change”), or offensive. We then identified 5 categories (animals, fantasy, people, nature and scenes, food and beverage) and selected prompts for these categories. These prompts were selected without generating any videos for them, and were kept fixed. In addition, we also used the DrawBench prompts from Imagen (Saharia et al., 2022) for human evaluation.We evaluate video quality and text-video faithfulness. For video quality, we show two videos in random order and ask annotators which one is of higher quality. For faithfulness, we additionally show the text and ask annotators which video has a better correspondence with the text (we suggest them to ignore quality issues). In addition, we also conducted human evaluation to compare video motion realism of our interpolation model and FILM (Reda et al., 2022).For each comparison, we use the majority vote from 5 different annotators as the final result.Our main contributions are:•We present Make-A-Video – an effective method that extends a diffusion-based T2I model to T2V through a spatiotemporally factorized diffusion model.•We leverage joint text-image priors to bypass the need for paired text-video data, which in turn allows us to potentially scale to larger quantities of video data.•We present super-resolution strategies in space and time that, for the first time, generate high-definition, high frame-rate videos given a user-provided textual input.•We evaluate Make-A-Video against existing T2V systems and present: (a) State-of-the-art results in quantitative as well as qualitative measures, and (b) A more thorough evaluation than existing literature in T2V. We also collect a test set of 300 prompts for zero-shot T2V human evaluation which we plan to release.	Correct		Correct	Correct	Correct	Incorrect	Incorrect	Correct
